DATE,USD/EURO,OIL,DOW JONES,J&J,AMOZON,APPLE,BERKSHIRE,GOOGLE,Volume,Close
1/14/14,0.731,92.59,16373.86035,94.720001,397.540009,78.055717,114.959999,575.275269,3353270000,1838.880005
1/15/14,0.735,94.17,16481.93945,94.800003,395.869995,79.622856,115.849998,574.884888,3777800000,1848.380005
1/16/14,0.7341,93.96,16417.00977,94.639999,395.799988,79.178574,115.239998,578.68866,3491310000,1845.890015
1/17/14,0.7385,94.37,16458.56055,95.059998,399.609985,77.238571,115.07,575.84082,3626120000,1838.699951
1/21/14,0.7373,94.99,16414.43945,94.029999,407.049988,78.438568,115.150002,582.432434,3782470000,1843.800049
1/22/14,0.7381,96.73,16373.33984,94.32,404.540009,78.78714,115.260002,583.093079,3374170000,1844.859985
1/23/14,0.7301,97.32,16197.34961,92.739998,399.869995,79.454285,113.5,580.630615,3972250000,1828.459961
1/24/14,0.7311,96.64,15879.11035,90.610001,387.600006,78.010002,111.809998,562.477478,4618450000,1790.290039
1/27/14,0.7314,95.72,15837.87988,89.940002,386.279999,78.64286,111.5,551.166138,4045200000,1781.560059
1/28/14,0.7316,97.41,15928.55957,90.099998,394.429993,72.35714,112.010002,562.067078,3437830000,1792.5
1/29/14,0.7319,97.36,15738.79004,88.900002,384.200012,71.535713,111.279999,554.014038,3964020000,1774.199951
1/30/14,0.7377,98.23,15848.61035,89.5,403.01001,71.397141,113,568.263245,3547510000,1794.189941
1/31/14,0.7414,97.49,15698.84961,88.470001,358.690002,71.514282,111.599998,591.07605,4059690000,1782.589966
2/3/14,0.7393,96.43,15372.79981,86.779999,346.149994,71.647141,108.989998,567.282288,4726040000,1741.890015
2/4/14,0.7397,97.19,15445.24023,86.620003,347.950012,72.684288,109.129997,569.649658,4068410000,1755.199951
2/5/14,0.7389,97.38,15440.23047,87.279999,346.450012,73.227142,108.779999,572.17218,3984290000,1751.640015
2/6/14,0.7358,97.84,15628.53027,88.75,354.589996,73.215714,110.160004,580.560547,3825410000,1773.430054
2/7/14,0.7334,99.88,15794.08008,90.040001,361.079987,74.239998,112.610001,589.309326,3775990000,1797.02002
2/10/14,0.7328,100.06,15801.79004,91.07,360.869995,75.57,112.610001,587.052063,3312160000,1799.839966
2/11/14,0.7332,99.94,15994.76953,92.970001,361.790009,76.565712,113.610001,595.685669,3699380000,1819.75
2/12/14,0.7356,100.37,15963.94043,92.419998,349.25,76.559998,113.300003,593.938965,3326380000,1819.26001
2/13/14,0.7309,100.35,16027.58984,92.559998,357.200012,77.775711,114.699997,600.550537,3289510000,1829.829956
2/14/14,0.7304,100.3,16154.38965,92.760002,357.350006,77.71286,114.949997,602.002014,3114750000,1838.630005
2/18/14,0.7268,102.43,16130.40039,92.169998,353.649994,77.998573,114.730003,606.046021,3421110000,1840.76001
2/19/14,0.7281,103.31,16040.55957,91.639999,347.380005,76.767143,113.360001,601.77179,3661570000,1828.75
2/20/14,0.7289,102.92,16133.23047,92.379997,349.799988,75.878571,113.099998,602.657654,3404980000,1839.780029
2/21/14,0.7278,102.2,16103.29981,91.519997,346.76001,75.035713,113.18,602.497498,3403880000,1836.25
2/24/14,0.728,102.82,16207.13965,91.110001,351.779999,75.364288,113.199997,606.861877,4014530000,1847.609985
2/25/14,0.7275,101.83,16179.66016,91.110001,358.320007,74.580002,113.940002,610.610596,3515560000,1845.119995
2/26/14,0.7306,102.59,16198.41016,91.110001,359.799988,73.907143,113.699997,610.695679,3716730000,1845.160034
2/27/14,0.7295,102.4,16272.65039,91.360001,360.130005,75.381432,114.580002,610.21521,3547460000,1854.290039
2/28/14,0.7245,102.59,16321.70996,92.120003,362.100006,75.177139,115.779999,608.433411,3917450000,1859.449951
3/3/14,0.728,104.92,16168.03027,91.559998,359.779999,75.394287,116.059998,601.94696,3428220000,1845.72998
3/4/14,0.7276,103.33,16395.88086,93.339996,363.899994,75.891426,118.57,608.063049,3765770000,1873.910034
3/5/14,0.7282,101.45,16360.17969,92.589996,372.369995,76.05143,118.980003,609.739746,3392990000,1873.810059
3/6/14,0.7215,101.56,16421.89063,92.889999,372.160004,75.821426,121.199997,610.415405,3360450000,1877.030029
3/7/14,0.7206,102.58,16452.7207,93.32,372.059998,75.777145,122.669998,608.002991,3564740000,1878.040039
3/10/14,0.7207,101.12,16418.67969,93.449997,370.529999,75.845711,124.099998,606.391418,3021350000,1877.170044
3/11/14,0.7216,100.03,16351.25,93.489998,368.820007,76.584282,124.690002,600.595581,3392400000,1867.630005
3/12/14,0.7192,97.99,16340.08008,93.599998,370.640015,76.658569,125.169998,604.254272,3270860000,1868.199951
3/13/14,0.721,98.2,16108.88965,93,371.51001,75.807144,123.610001,595.125122,3670990000,1846.339966
3/14/14,0.7187,98.89,16065.66992,92.809998,373.73999,74.955711,122.510002,586.987,3285460000,1841.130005
3/17/14,0.7183,98.08,16247.21973,93.93,375.040009,75.248573,123.360001,596.646667,2860490000,1858.829956
3/18/14,0.7177,99.7,16336.19043,93.940002,378.769989,75.914284,123.279999,606.236206,2930190000,1872.25
3/19/14,0.7229,100.37,16222.16992,93.589996,373.230011,75.894287,122.620003,600.22522,3289210000,1860.77002
3/20/14,0.7258,99.43,16331.04981,94.120003,368.970001,75.528572,124.440002,599.179199,3327540000,1872.01001
3/21/14,0.7249,99.46,16302.76953,95.93,360.619995,76.124283,125.199997,592.112122,5270710000,1866.52002
3/24/14,0.7226,99.6,16276.69043,95.199997,351.850006,77.027145,124.32,579.544556,3409000000,1857.439941
3/25/14,0.7232,99.19,16367.87988,97.379997,354.709991,77.855713,124.470001,579.939941,3200560000,1865.619995
3/26/14,0.7255,100.26,16268.99023,97.050003,343.410004,77.111427,123.010002,566.551575,3480850000,1852.560059
3/27/14,0.7278,101.28,16264.23047,97.279999,338.470001,76.779999,123.470001,557.697693,3733430000,1849.040039
3/28/14,0.7271,101.67,16323.05957,97.440002,338.290009,76.694283,123.529999,560.63562,2955520000,1857.619995
3/31/14,0.7261,101.58,16457.66016,98.230003,336.369995,76.677139,124.970001,557.812805,3274300000,1872.339966
4/1/14,0.725,99.74,16532.60938,97.940002,342.98999,77.378571,124.879997,568.013,3336190000,1885.52002
4/2/14,0.7264,99.62,16573,98.230003,341.959991,77.507141,124.470001,568.118103,3131660000,1890.900024
4/3/14,0.7289,100.29,16572.55078,98.260002,333.619995,76.970001,124.309998,571.5,3055600000,1888.77002
4/4/14,0.7298,101.14,16412.71094,98.419998,323,75.974289,123.900002,545.25,3583750000,1865.089966
4/7/14,0.7278,100.44,16245.87012,97.889999,317.76001,74.781425,123.120003,540.630005,3801540000,1845.040039
4/8/14,0.7248,102.56,16256.13965,98.059998,327.070007,74.777145,123.129997,557.51001,3721450000,1851.959961
4/9/14,0.7218,103.6,16437.17969,98.949997,331.809998,75.760002,124.010002,567.039978,3308650000,1872.180054
4/10/14,0.72,103.4,16170.21973,96.540001,317.109985,74.78286,122.269997,546.690002,3758780000,1833.079956
4/11/14,0.7202,103.74,16026.75,96.870003,311.730011,74.230003,121.699997,537.76001,3743460000,1815.689941
4/14/14,0.7236,104.05,16173.24023,97.139999,315.910004,74.525711,122.290001,545.200012,3111540000,1830.609985
4/15/14,0.7239,103.75,16262.55957,99.199997,316.079987,73.994286,123.769997,548.700012,3736440000,1842.97998
4/16/14,0.7238,103.76,16424.84961,98.75,323.679993,74.144287,126,563.900024,3155080000,1862.310059
4/17/14,0.7238,104.3,16408.53906,98.959999,324.910004,74.991432,127.18,543.340027,3341430000,1864.849976
4/21/14,0.725,104.37,16449.25,100,330.869995,75.881432,126.5,539.369995,2642500000,1871.890015
4/22/14,0.7244,102.13,16514.36914,100.18,329.320007,75.957146,127.150002,545.5,3215440000,1879.550049
4/23/14,0.7238,101.44,16501.65039,100.220001,324.579987,74.964287,127.199997,537.51001,3085720000,1875.390015
4/24/14,0.7229,101.94,16501.65039,99.959999,337.149994,81.110001,126.949997,534.440002,3191830000,1878.609985
4/25/14,0.7229,100.6,16361.45996,99.790001,303.829987,81.705711,127.260002,523.099976,3213020000,1863.400024
4/28/14,0.722,100.84,16448.74023,101.339996,296.579987,84.870003,127.699997,522.97998,4034680000,1869.430054
4/29/14,0.724,101.28,16535.36914,101.029999,300.380005,84.618568,128.490005,536.330017,3647820000,1878.329956
4/30/14,0.7211,99.74,16580.83984,101.290001,304.130005,84.298569,128.850006,534.880005,3779230000,1883.949951
5/1/14,0.721,99.42,16558.86914,100.529999,307.890015,84.497147,129.059998,538.530029,3416740000,1883.680054
5/2/14,0.7209,99.76,16512.89063,99.309998,308.01001,84.654289,128.089996,533.869995,3159560000,1881.140015
5/5/14,0.7207,99.48,16530.55078,100,310.049988,85.851425,126.610001,535.330017,2733730000,1884.660034
5/6/14,0.718,99.5,16401.01953,99.510002,297.380005,84.915718,124.669998,522.570007,3327260000,1867.719971
5/7/14,0.7188,100.77,16518.53906,100.910004,292.709991,84.618568,127.449997,518,3632950000,1878.209961
5/8/14,0.7225,100.26,16550.9707,100.5,288.320007,83.998573,126.669998,520.169983,3393420000,1875.630005
5/9/14,0.7268,99.99,16583.33984,100.910004,292.23999,83.648575,127.339996,526.619995,3025020000,1878.47998
5/12/14,0.7269,100.59,16695.4707,100.519997,302.859985,84.690002,127.290001,538.429993,3005740000,1896.650024
5/13/14,0.7297,101.7,16715.43945,101.019997,304.640015,84.822861,127.889999,541.539978,2915680000,1897.449951
5/14/14,0.7291,102.37,16613.9707,100.870003,297.619995,84.83857,127.529999,534.409973,2822060000,1888.530029
5/15/14,0.7293,101.5,16446.81055,100.690002,295.190002,84.117142,126.360001,529.119995,3552640000,1870.849976
5/16/14,0.7303,102.02,16491.31055,100.580002,297.700012,85.358574,126.860001,528.299988,3173650000,1877.859985
5/19/14,0.7294,102.61,16511.85938,100.639999,296.76001,86.370003,127.129997,538.830017,2664250000,1885.079956
5/20/14,0.7298,102.44,16374.30957,100.25,301.190002,86.387146,126.059998,540.390015,3007700000,1872.829956
5/21/14,0.7307,104.07,16533.06055,101.139999,305.01001,86.615715,126.660004,549.700012,2777140000,1888.030029
5/22/14,0.7323,103.74,16543.08008,100.959999,304.910004,86.752853,126.980003,555.450012,2759800000,1892.48999
5/23/14,0.7335,104.35,16606.26953,100.980003,312.23999,87.732857,126.800003,563.799988,2396280000,1900.530029
5/27/14,0.7334,104.11,16675.5,100.809998,310.820007,89.375717,127.519997,574.869995,2911020000,1911.910034
5/28/14,0.7358,102.72,16633.17969,100.300003,310.160004,89.144287,127.459999,570.450012,2976450000,1909.780029
5/29/14,0.7351,103.58,16698.74023,100.760002,313.779999,90.76857,128.110001,570.559998,2709050000,1920.030029
5/30/14,0.7337,102.71,16717.16992,101.459999,312.549988,90.428574,128.339996,571.650024,3263490000,1923.569946
6/2/14,0.7354,102.47,16743.63086,102.169998,308.839996,89.807144,127.879997,564.340027,2509020000,1924.969971
6/3/14,0.7338,102.66,16722.33984,102.459999,307.190002,91.077141,126.93,554.51001,2867180000,1924.23999
6/4/14,0.7353,102.64,16737.5293,102.68,306.779999,92.117142,127.230003,553.76001,2793920000,1927.880005
6/5/14,0.7321,102.48,16836.10938,103.220001,323.570007,92.478569,128.199997,564.929993,3113270000,1940.459961
6/6/14,0.733,102.66,16924.2793,103.18,329.670013,92.224289,128.649994,566.030029,2864300000,1949.439941
6/9/14,0.7356,104.41,16943.09961,103.220001,327.5,93.699997,127.989998,570.72998,2812180000,1951.27002
